voivodeship,city,county,population
dolnośląskie,Bardo,Ząbkowicki,2416.0
dolnośląskie,Bielawa,Dzierżoniowski,28688.0
dolnośląskie,Bierutów,Oleśnicki,4553.0
dolnośląskie,Bogatynia,Zgorzelecki,16460.0
dolnośląskie,Boguszów-Gorce,Wałbrzyski,14535.0
dolnośląskie,Bolesławiec,Bolesławiecki,37522.0
dolnośląskie,Bolków,Jaworski,4670.0
dolnośląskie,Brzeg Dolny,Wołowski,12695.0
dolnośląskie,Bystrzyca Kłodzka,Kłodzki,9335.0
dolnośląskie,Chocianów,Polkowicki,7519.0
dolnośląskie,Chojnów,Legnicki,12619.0
dolnośląskie,Duszniki-Zdrój,Kłodzki,4178.0
dolnośląskie,Dzierżoniów,Dzierżoniowski,31478.0
dolnośląskie,Głogów,Głogowski,63730.0
dolnośląskie,Głuszyca,Wałbrzyski,5999.0
dolnośląskie,Góra,Górowski,11036.0
dolnośląskie,Gryfów Śląski,Lwówecki,6302.0
dolnośląskie,Jawor,Jaworski,21264.0
dolnośląskie,Jaworzyna Śląska,Świdnicki,5066.0
dolnośląskie,Jedlina-Zdrój,Wałbrzyski,4766.0
dolnośląskie,Jelcz-Laskowice,Oławski,15234.0
dolnośląskie,Jelenia Góra,Jelenia Góra,76570.0
dolnośląskie,Kamieniec Ząbkowicki,Ząbkowicki,4403.0
dolnośląskie,Kamienna Góra,Kamiennogórski,17724.0
dolnośląskie,Karpacz,Karkonoski,4358.0
dolnośląskie,Kąty Wrocławskie,Wrocławski,7220.0
dolnośląskie,Kłodzko,Kłodzki,25442.0
dolnośląskie,Kowary,Karkonoski,10139.0
dolnośląskie,Kudowa-Zdrój,Kłodzki,9509.0
dolnośląskie,Lądek-Zdrój,Kłodzki,5115.0
dolnośląskie,Legnica,Legnica,93988.0
dolnośląskie,Leśna,Lubański,4135.0
dolnośląskie,Lubań,Lubański,19964.0
dolnośląskie,Lubawka,Kamiennogórski,5652.0
dolnośląskie,Lubin,Lubiński,69267.0
dolnośląskie,Lubomierz,Lwówecki,1756.0
dolnośląskie,Lwówek Śląski,Lwówecki,8346.0
dolnośląskie,Mieroszów,Wałbrzyski,3815.0
dolnośląskie,Międzybórz,Oleśnicki,2362.0
dolnośląskie,Międzylesie,Kłodzki,2448.0
dolnośląskie,Milicz,Milicki,10977.0
dolnośląskie,Mirsk,Lwówecki,3703.0
dolnośląskie,Niemcza,Dzierżoniowski,2752.0
dolnośląskie,Nowa Ruda,Kłodzki,21018.0
dolnośląskie,Nowogrodziec,Bolesławiecki,4120.0
dolnośląskie,Oborniki Śląskie,Trzebnicki,9050.0
dolnośląskie,Oleśnica,Oleśnicki,35640.0
dolnośląskie,Olszyna,Lubański,4345.0
dolnośląskie,Oława,Oławski,33201.0
dolnośląskie,Piechowice,Karkonoski,5886.0
dolnośląskie,Pieńsk,Zgorzelecki,5578.0
dolnośląskie,Pieszyce,Dzierżoniowski,6876.0
dolnośląskie,Piława Górna,Dzierżoniowski,6059.0
dolnośląskie,Polanica-Zdrój,Kłodzki,6141.0
dolnośląskie,Polkowice,Polkowicki,21630.0
dolnośląskie,Prochowice,Legnicki,3536.0
dolnośląskie,Prusice,Trzebnicki,2195.0
dolnośląskie,Przemków,Polkowicki,5744.0
dolnośląskie,Radków,Kłodzki,2302.0
dolnośląskie,Siechnice,Wrocławski,10310.0
dolnośląskie,Sobótka,Wrocławski,7005.0
dolnośląskie,Stronie Śląskie,Kłodzki,5089.0
dolnośląskie,Strzegom,Świdnicki,15225.0
dolnośląskie,Strzelin,Strzeliński,12091.0
dolnośląskie,Syców,Oleśnicki,10003.0
dolnośląskie,Szczawno-Zdrój,Wałbrzyski,5257.0
dolnośląskie,Szczytna,Kłodzki,4864.0
dolnośląskie,Szklarska Poręba,Karkonoski,5873.0
dolnośląskie,Ścinawa,Lubiński,5349.0
dolnośląskie,Środa Śląska,Średzki,9549.0
dolnośląskie,Świdnica,Świdnicki,54192.0
dolnośląskie,Świebodzice,Świdnicki,22110.0
dolnośląskie,Świeradów-Zdrój,Lubański,4080.0
dolnośląskie,Świerzawa,Złotoryjski,2071.0
dolnośląskie,Trzebnica,Trzebnicki,13696.0
dolnośląskie,Twardogóra,Oleśnicki,6315.0
dolnośląskie,Wałbrzych,Wałbrzych,103263.0
dolnośląskie,Wąsosz,Górowski,2582.0
dolnośląskie,Węgliniec,Zgorzelecki,2682.0
dolnośląskie,Wiązów,Strzeliński,2293.0
dolnośląskie,Wleń,Lwówecki,1606.0
dolnośląskie,Wojcieszów,Złotoryjski,3512.0
dolnośląskie,Wołów,Wołowski,12190.0
dolnośląskie,Wrocław,Wrocław,674312.0
dolnośląskie,Zawidów,Zgorzelecki,3883.0
dolnośląskie,Ząbkowice Śląskie,Ząbkowicki,14495.0
dolnośląskie,Zgorzelec,Zgorzelecki,29542.0
dolnośląskie,Ziębice,Ząbkowicki,8070.0
dolnośląskie,Złotoryja,Złotoryjski,14488.0
dolnośląskie,Złoty Stok,Ząbkowicki,2549.0
dolnośląskie,Żarów,Świdnicki,6551.0
dolnośląskie,Żmigród,Trzebnicki,6264.0
kujawsko-pomorskie,Aleksandrów Kujawski,Aleksandrowski,11627.0
kujawsko-pomorskie,Barcin,Żniński,7142.0
kujawsko-pomorskie,Brodnica,Brodnicki,28715.0
kujawsko-pomorskie,Brześć Kujawski,Włocławski,4529.0
kujawsko-pomorskie,Bydgoszcz,Bydgoszcz,334026.0
kujawsko-pomorskie,Chełmno,Chełmiński,18617.0
kujawsko-pomorskie,Chełmża,Toruński,13906.0
kujawsko-pomorskie,Chodecz,Włocławski,1770.0
kujawsko-pomorskie,Ciechocinek,Aleksandrowski,10349.0
kujawsko-pomorskie,Dobrzyń nad Wisłą,Lipnowski,2007.0
kujawsko-pomorskie,Gniewkowo,Inowrocławski,6825.0
kujawsko-pomorskie,Golub-Dobrzyń,Golubsko-Dobrzyński,11577.0
kujawsko-pomorskie,Górzno,Brodnicki,1385.0
kujawsko-pomorskie,Grudziądz,Grudziądz,90275.0
kujawsko-pomorskie,Inowrocław,Inowrocławski,68906.0
kujawsko-pomorskie,Izbica Kujawska,Włocławski,2507.0
kujawsko-pomorskie,Jabłonowo Pomorskie,Brodnicki,3676.0
kujawsko-pomorskie,Janikowo,Inowrocławski,8291.0
kujawsko-pomorskie,Janowiec Wielkopolski,Żniński,3788.0
kujawsko-pomorskie,Kamień Krajeński,Sępoleński,2365.0
kujawsko-pomorskie,Kcynia,Nakielski,4304.0
kujawsko-pomorskie,Koronowo,Bydgoski,10864.0
kujawsko-pomorskie,Kowal,Włocławski,3365.0
kujawsko-pomorskie,Kowalewo Pomorskie,Golubsko-Dobrzyński,4059.0
kujawsko-pomorskie,Kruszwica,Inowrocławski,9232.0
kujawsko-pomorskie,Lipno,Lipnowski,13621.0
kujawsko-pomorskie,Lubień Kujawski,Włocławski,1350.0
kujawsko-pomorskie,Lubraniec,Włocławski,2778.0
kujawsko-pomorskie,Łabiszyn,Żniński,4480.0
kujawsko-pomorskie,Łasin,Grudziądzki,3150.0
kujawsko-pomorskie,Mogilno,Mogileński,11276.0
kujawsko-pomorskie,Mrocza,Nakielski,4183.0
kujawsko-pomorskie,Nakło nad Notecią,Nakielski,17479.0
kujawsko-pomorskie,Nieszawa,Aleksandrowski,1762.0
kujawsko-pomorskie,Nowe,Świecki,5519.0
kujawsko-pomorskie,Pakość,Inowrocławski,5253.0
kujawsko-pomorskie,Piotrków Kujawski,Radziejowski,4275.0
kujawsko-pomorskie,Pruszcz,Świecki,2710.0
kujawsko-pomorskie,Radziejów,Radziejowski,5198.0
kujawsko-pomorskie,Radzyń Chełmiński,Grudziądzki,1811.0
kujawsko-pomorskie,Rypin,Rypiński,15697.0
kujawsko-pomorskie,Sępólno Krajeńskie,Sępoleński,8892.0
kujawsko-pomorskie,Skępe,Lipnowski,3455.0
kujawsko-pomorskie,Solec Kujawski,Bydgoski,15432.0
kujawsko-pomorskie,Strzelno,Mogileński,5341.0
kujawsko-pomorskie,Szubin,Nakielski,9506.0
kujawsko-pomorskie,Świecie,Świecki,25209.0
kujawsko-pomorskie,Toruń,Toruń,197112.0
kujawsko-pomorskie,Tuchola,Tucholski,13351.0
kujawsko-pomorskie,Wąbrzeźno,Wąbrzeski,13220.0
kujawsko-pomorskie,Więcbork,Sępoleński,5787.0
kujawsko-pomorskie,Włocławek,Włocławek,103535.0
kujawsko-pomorskie,Żnin,Żniński,13349.0
lubelskie,Annopol,Kraśnicki,2343.0
lubelskie,Bełżyce,Lubelski,6067.0
lubelskie,Biała Podlaska,Biała Podlaska,55100.0
lubelskie,Biłgoraj,Biłgorajski,25268.0
lubelskie,Bychawa,Lubelski,4641.0
lubelskie,Chełm,Chełm,58805.0
lubelskie,Dęblin,Rycki,14504.0
lubelskie,Frampol,Biłgorajski,1362.0
lubelskie,Goraj,Biłgorajski,881.0
lubelskie,Hrubieszów,Hrubieszowski,16563.0
lubelskie,Izbica,Krasnostawski,1739.0
lubelskie,Janów Lubelski,Janowski,11192.0
lubelskie,Józefów,Biłgorajski,2368.0
lubelskie,Józefów nad Wisłą,Opolski,825.0
lubelskie,Kamionka,Lubartowski,1702.0
lubelskie,Kazimierz Dolny,Puławski,3243.0
lubelskie,Kock,Lubartowski,2932.0
