first_name,sex,occurrences
Piotr,M,692120
Krzysztof,M,645674
Andrzej,M,542386
Tomasz,M,538080
Paweł,M,507624
Michał,M,491591
Jan,M,485100
Marcin,M,450609
Jakub,M,422395
Adam,M,401718
Łukasz,M,384143
Marek,M,382201
Grzegorz,M,377006
Mateusz,M,376449
Stanisław,M,374852
Wojciech,M,334615
Mariusz,M,288344
Dariusz,M,285899
Maciej,M,267785
Zbigniew,M,267089
Rafał,M,262387
Robert,M,260217
Kamil,M,250833
Jerzy,M,244093
Dawid,M,237545
Szymon,M,237378
Jacek,M,233021
Kacper,M,225320
Józef,M,213147
Ryszard,M,206903
Tadeusz,M,205066
Bartosz,M,203309
Artur,M,195807
Jarosław,M,191972
Sławomir,M,186178
Sebastian,M,185795
Janusz,M,184096
Damian,M,183970
Mirosław,M,181867
Patryk,M,179690
Roman,M,174439
Daniel,M,169087
Filip,M,166708
Henryk,M,166333
Antoni,M,166194
Przemysław,M,165995
Karol,M,165645
Aleksander,M,149838
Adrian,M,148515
Kazimierz,M,148424
Wiesław,M,140276
Marian,M,133889
Arkadiusz,M,133846
Dominik,M,133840
Franciszek,M,133394
Mikołaj,M,131330
Bartłomiej,M,125366
Leszek,M,114719
Wiktor,M,112896
Krystian,M,111360
Waldemar,M,108031
Oleksandr,M,104507
Radosław,M,103891
Bogdan,M,96695
Zdzisław,M,95955
Konrad,M,90692
Igor,M,90065
Hubert,M,88427
Edward,M,82405
Mieczysław,M,78995
Oskar,M,75372
Marcel,M,74951
Władysław,M,74287
Czesław,M,68233
Maksymilian,M,67357
Serhii,M,64060
Andrii,M,63354
Eugeniusz,M,63219
Miłosz,M,63213
Bogusław,M,60335
Ireneusz,M,60003
Nikodem,M,58465
Volodymyr,M,57525
Stefan,M,57347
Witold,M,55895
Leon,M,54651
Oliwier,M,54528
Sylwester,M,54066
Zygmunt,M,53181
Dmytro,M,51730
Alan,M,50635
Ivan,M,48060
Włodzimierz,M,47363
Cezary,M,46133
Zenon,M,43283
Maksym,M,43171
Gabriel,M,41348
Ignacy,M,40964
Julian,M,40100
Norbert,M,39704
Mykola,M,38113
Tymon,M,36277
Tymoteusz,M,36028
Vitalii,M,34543
Fabian,M,34134
Yurii,M,32988
Błażej,M,32894
Ihor,M,32869
Vasyl,M,32014
Mykhailo,M,31723
Vladyslav,M,30497
Artem,M,29783
Oleh,M,29506
Eryk,M,29256
Emil,M,28665
Viktor,M,26399
Bohdan,M,24896
Lech,M,23738
Bronisław,M,22744
Wacław,M,22662
Oleksii,M,22561
Natan,M,21987
Ksawery,M,21149
Denys,M,20652
Borys,M,19846
Bolesław,M,19462
Ruslan,M,19078
Remigiusz,M,18770
Olaf,M,18715
Bernard,M,17977
Kajetan,M,17526
Yaroslav,M,17224
Pavlo,M,17018
Kuba,M,16113
Edmund,M,15807
Vadym,M,15319
Lucjan,M,15002
Bruno,M,14893
Albert,M,14725
Anatolii,M,14700
Tobiasz,M,14664
Aliaksandr,M,14438
Romuald,M,14192
Gracjan,M,14154
Seweryn,M,13779
