street,occurrences
Leśna,3581
Polna,3476
Słoneczna,3079
Krótka,2538
Ogrodowa,2417
Szkolna,2385
Brzozowa,2065
Lipowa,1979
Sosnowa,1968
Kwiatowa,1819
Łąkowa,1811
Akacjowa,1664
Dębowa,1619
Spacerowa,1613
Spokojna,1584
Zielona,1489
Kościelna,1437
Parkowa,1435
Cicha,1425
Sportowa,1423
Klonowa,1388
Świerkowa,1353
Kolejowa,1248
Kasztanowa,1214
Wrzosowa,1142
Mickiewicza,1116
Kościuszki,1079
Maja,1065
Piaskowa,1060
Różana,1059
Pogodna,1050
Nowa,1044
Wspólna,1039
Wiśniowa,1024
Graniczna,985
Jaśminowa,974
Topolowa,972
Długa,949
Wierzbowa,907
Wiejska,876
Sienkiewicza,870
Malinowa,866
Boczna,850
Dworcowa,842
Bukowa,841
Wesoła,836
Słowackiego,822
Modrzewiowa,811
Wąska,782
Konopnickiej,775
Jodłowa,758
Wiosenna,739
Lawendowa,705
Przemysłowa,685
Zacisze,675
Miodowa,675
Jesionowa,674
Jana Pawła II,673
Poprzeczna,667
Jagodowa,654
Kopernika,643
Strażacka,639
Chabrowa,638
Miła,636
Górna,634
Główna,632
Osiedlowa,623
Sadowa,618
Widokowa,607
Rynek,606
Południowa,598
Żeromskiego,597
Młyńska,588
Poziomkowa,576
Stawowa,575
Jarzębinowa,563
Wojska Polskiego,563
Prusa,556
Konwaliowa,543
Radosna,541
Jasna,541
Orzechowa,531
Tęczowa,521
Makowa,519
Chopina,516
Okrężna,514
Wodna,510
Kochanowskiego,504
Reymonta,503
Prosta,496
Sikorskiego,493
Cmentarna,488
Zamkowa,483
Kalinowa,480
Dolna,476
Piłsudskiego,466
Reja,466
Warszawska,464
Cisowa,462
Witosa,457
Złota,453
Podgórna,453
Armii Krajowej,449
Kręta,447
Zachodnia,445
Działkowa,443
Bursztynowa,442
Krzywa,433
Partyzantów,426
Targowa,425
Orzeszkowej,422
Rzeczna,422
Północna,419
Kilińskiego,413
Moniuszki,408
Źródlana,408
Grabowa,406
Gajowa,405
Spółdzielcza,404
Czereśniowa,402
Wolności,396
Rzemieślnicza,394
Fabryczna,392
Jaworowa,387
Piękna,387
Leszczynowa,384
Bolesława Chrobrego,379
Morelowa,375
Staszica,374
Jeziorna,371
Fiołkowa,368
Rumiankowa,367
Wyszyńskiego,365
Wschodnia,364
Nadrzeczna,363
Liliowa,359
Matejki,354
Podleśna,349
Letnia,348
Norwida,347
Paderewskiego,345
Grunwaldzka,343
Pocztowa,342
Tuwima,340
Żurawia,340
Mostowa,339
Dąbrowskiego,338
Asnyka,335
Kamienna,335
Wyspiańskiego,328
Grzybowa,327
Dworska,326
Rolna,325
Myśliwska,324
Krakowska,321
Żwirowa,320
Żytnia,318
Listopada,318
Tulipanowa,317
Rubinowa,317
Diamentowa,314
Zaciszna,313
Owocowa,311
Jałowcowa,311
Szmaragdowa,311
Jadwigi,309
Poznańska,308
Mała,307
Bema,306
Broniewskiego,303
Księżycowa,297
Szafirowa,296
Piastowska,292
Traugutta,284
Urocza,283
Łączna,280
Wczasowa,278
Jeżynowa,274
Olchowa,270
Mieszka I,266
Kazimierza Wielkiego,265
Rolnicza,259
Turystyczna,259
Zbożowa,256
Perłowa,254
Cyprysowa,250
Krucza,249
Władysława Jagiełły,248
Porzeczkowa,248
Wyzwolenia,244
Brzoskwiniowa,243
Krasickiego,242
Błękitna,242
Strzelecka,242
Szpitalna,237
Agrestowa,237
Stefana Batorego,236
Borówkowa,235
Harcerska,234
Dobra,232
Magnoliowa,231
Jana III Sobieskiego,231
Truskawkowa,229
Głowackiego,228
Azaliowa,228
Wrocławska,227
Władysława Łokietka,227
Jesienna,226
Zielna,226
Gdańska,224
Korczaka,224
Stroma,222
Pułaskiego,222
Kraszewskiego,220
Kołłątaja,220
Rybacka,219
Jabłoniowa,219
Letniskowa,218
Szeroka,218
Jagiellońska,216
Krokusowa,216
Starowiejska,216
Żwirki i Wigury,216
Irysowa,214
Orla,214
Strumykowa,212
Srebrna,210
Słonecznikowa,209
Poniatowskiego,208
Miętowa,208
Szczęśliwa,208
Willowa,206
Mazowiecka,205
Narutowicza,204
Turkusowa,204
Storczykowa,201
Lazurowa,201
Kasprowicza,200
Andersa,200
Okrzei,199
Plac Wolności,198
Zdrojowa,198
Towarowa,198
Młynarska,196
Niepodległości,194
Cedrowa,193
Środkowa,193
Powstańców Wielkopolskich,192
Mokra,192
Jastrzębia,191
Wilcza,189
Wypoczynkowa,189
Gołębia,186
Robotnicza,186
Powstańców Śląskich,185
Miłosza,185
Fredry,184
Sowia,183
Rodzinna,182
Promienna,182
Baczyńskiego,181
Popiełuszki,181
Pomorska,178
Majowa,178
Bociania,177
Krańcowa,175
Opolska,175
Hallera,175
Chmielna,174
Zakątek,173
Plażowa,172
Bajkowa,172
Brzechwy,170
Słowicza,170
Krasińskiego,168
Dąbrowskiej,168
Szymanowskiego,168
Batalionów Chłopskich,168
Górska,166
Nałkowskiej,165
Słowiańska,164
Gałczyńskiego,164
Głogowa,162
Skłodowskiej-Curie,162
Pałacowa,161
Szarych Szeregów,161
Rycerska,160
Klasztorna,160
Tartaczna,160
Handlowa,159
Cegielniana,159
Czarnieckiego,159
Ptasia,158
Wybickiego,157
Dojazdowa,156
Wałowa,156
Jaskółcza,156
Sezamkowa,156
Niecała,155
Torowa,155
Rajska,154
Chełmońskiego,153
Pileckiego,153
Koralowa,153
Widok,152
Kossaka,152
Kaszubska,152
Królewska,152
Nadbrzeżna,151
Przyjazna,151
Składowa,150
Floriana,148
Lubelska,147
Drzymały,146
Przechodnia,146
Skośna,146
Plater,145
Wiązowa,145
Częstochowska,144
Nowowiejska,143
Długosza,143
Sarnia,141
Skargi,140
Daszyńskiego,140
Piwna,139
Waryńskiego,139
Zaułek,139
Podmiejska,138
Ludowa,138
Skrajna,138
Narcyzowa,138
Kusocińskiego,137
Staffa,137
Mazurska,137
Kolorowa,137
Zwycięstwa,136
Sokola,135
Lisia,134
Górnicza,134
Malownicza,134
Śląska,133
Kosynierów,133
Platynowa,133
Łabędzia,133
Oliwkowa,131
Morska,130
Wieniawskiego,130
Żeglarska,130
Zimowa,130
Ziołowa,129
Baśniowa,129
Na Wzgórzu,127
Wiklinowa,127
Malczewskiego,127
Śliwkowa,126
Żabia,125
Stolarska,124
Granitowa,123
Maczka,122
Wysoka,121
Kryształowa,121
Gościnna,121
Toruńska,121
Borowa,120
Lotnicza,120
Brylantowa,118
Bolesława Krzywoustego,117
Łanowa,116
Pod Lasem,116
Platanowa,116
Jana,116
Pszenna,116
Browarna,116
Sucharskiego,115
Konarskiego,115
Stycznia,115
Szymborskiej,115
Wiślana,115
Piekarska,114
Bankowa,114
Kolonia,113
Żurawinowa,113
Aroniowa,113
